title,plot,director,cast,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Music,Musical,Mystery,Reality-TV,Romance,Sci-Fi,Sport,Thriller,War,Western
Gut,"Family man Tom has seen something he cant forget, a mysterious video with an ugly secret that soon spreads into his daily life and threatens to dismantle everything around him.",Elias,"Jason Vail, Nicholas Wilder, Sarah Schoofs, Kirstianna Mueller",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Treasure Chest of Horrors II,"Mona Screamalot, along with her crazy family, prepares you for six short horror films from deep within her trashy treasure chest. This anthology features party killers, giant killer babies, an angry murderous child, a bacterial infection like no other, a murderous cross dresser,a killer in the woods, and Satan. Oh yeah, dont forget the buckets of blood.","M Kelley, Shawn C Phillips, Alex Powers","Veronica Ricci, Nicholas Adam Clark, James Cullen Bressack, Nick Waugh",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Infidus,"In the suburbs of Rome, two disparate lives with only desire for vengeance and redemption in common find their destinies intertwined. Massimos mind is plagued with images of his wifes violent death at the hands of a criminal gang involved in the production of snuff films. With every memory of the woman he loved replaced by unforgettable images of her horrific final moments, Massimo sees only ...",Giulio De Santi,"Bonini Mino, Massimo Caratelli, Maurizio Zaffino, Stefania Bonini",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
In Extremis,Its the end of the world  at least their world.,Steve Stone,"David OHara, Isabelle Allen, Neil Pearson, Toyah Willcox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ghostlight,"Andrew wins a radio contest to spend one night alone in a haunted theater on the 80th anniversary of the bloody murder/suicide that occurred within its walls. His prize: $50,000. His task: To spend 12 hours alone inside. The catch: The theater has been reportedly haunted ever since the tragedy 80 years ago, and has been plagued by a series of mysterious deaths in the years since. As Andrew is ...",Jeff Ferrell,"Eden Campbell, Lisa Coronado, David A Crellin, Jeff Ferrell",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Parasyte: Part 2,"Humanity is under attack by humanmimicking flesheating alien parasites. One parasite bonds with his young high school student host, and he convinces the parasite to help him stop the others.",Takashi Yamazaki,"Shôta Sometani, Eri Fukatsu, Ai Hashimoto, Sadao Abe",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Stranger in the House,"Eve has married the man of her dreams but when they return to live in the house willed to him by his first wife who died under horrific circumstances, it becomes a waking nightmare as Eve falls into a spiral of suspicion and madness.",Devon Gummersall,"Annabella Sciorra, Tammy Blanchard, Nathan Darrow, Dennis Boutsikaris",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Tutak Tutak Tutiya,The Hindi version of the trilingual horrorcomedy wherein a husband finds out his wife is possessed. The Telugu version is Abhinetri (2016) and the Tamil version is Devi(L) (2016),Vijay,"Tamannaah Bhatia, Karishma Gulati, Esha Gupta, Amy Jackson",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Strange House,"A young girl pretending to be the deceased granddaughter of an ailing grandmother begins experiencing horrific visions of the dead granddaughter, causing her to slowly succumb to the insanity of illusion and reality merging.",Danny Pang,"SiuFai Cheung, Yi Song, Zitian Tian, Jiao Xu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rise of the Animals,"In a world where animals have turned on humanity, a teen travels across the country in search of the girl of his dreams.",Chris Wojcik,"Greg Hoople, Stephanie Motta, Adam Schonberg, Nikki Preston",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
